time,x,y,theta
5954000.00000,0.29995,1.76015,1.32911
5980000.00000,0.29995,1.76015,1.32911
6006000.00000,0.29995,1.76015,1.27771
6032000.00000,0.29995,1.76015,1.27771
6058000.00000,0.31082,1.76015,1.27771
6084000.00000,0.31082,1.79982,1.27771
6110000.00000,0.31082,1.79982,1.27771
6136000.00000,0.31082,1.79982,1.23804
6162000.00000,0.31082,1.79982,1.23804
6188000.00000,0.31082,1.79982,1.23804
6214000.00000,0.32346,1.83889,1.23804
6240000.00000,0.32346,1.83889,1.23804
6266000.00000,0.32346,1.83889,1.23804
6292000.00000,0.32346,1.83889,1.20270
6318000.00000,0.32346,1.83889,1.20270
6344000.00000,0.33766,1.83889,1.20270
6370000.00000,0.33766,1.87774,1.20270
6396000.00000,0.33766,1.87774,1.20270
6422000.00000,0.33766,1.87774,1.17754
6448000.00000,0.33766,1.87774,1.17754
6474000.00000,0.33766,1.87774,1.17754
6500000.00000,0.35316,1.91647,1.17754
6526000.00000,0.35316,1.91647,1.17754
6552000.00000,0.35316,1.91647,1.17754
6578000.00000,0.35316,1.91647,1.16458
6604000.00000,0.35316,1.91647,1.16458
6630000.00000,0.36942,1.91647,1.16458
6656000.00000,0.36942,1.95495,1.16458
6682000.00000,0.36942,1.95495,1.16458
6708000.00000,0.36942,1.95495,1.14010
6734000.00000,0.36942,1.95495,1.14010
6760000.00000,0.36942,1.95495,1.14010
6786000.00000,0.38720,1.99494,1.14010
6812000.00000,0.38720,1.99494,1.14010
6838000.00000,0.38720,1.99494,1.08499
6864000.00000,0.38720,1.99494,1.08499
6890000.00000,0.38720,1.99494,1.08499
6916000.00000,0.40742,1.99494,1.08499
6942000.00000,0.40742,2.03593,1.08499
6968000.00000,0.40742,2.03593,1.08499
6994000.00000,0.40742,2.03593,1.01477
7020000.00000,0.40742,2.03593,1.01477
7046000.00000,0.40742,2.03593,1.01477
7072000.00000,0.42968,2.07473,1.01477
7098000.00000,0.42968,2.07473,1.01477
7124000.00000,0.42968,2.07473,0.93443
7150000.00000,0.42968,2.07473,0.93443
7176000.00000,0.42968,2.07473,0.93443
7202000.00000,0.45414,2.07473,0.93443
